roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason,k_ref_free_coef,k_ref_free_coef_ci_low,k_ref_free_coef_ci_high,k_ref_coef_fast,k_ref_coef_fast_ci_low,k_ref_coef_fast_ci_high,k_ref_tau_fast,k_ref_tau_fast_ci_low,k_ref_tau_fast_ci_high,k_ref_coef_slow,k_ref_coef_slow_ci_low,k_ref_coef_slow_ci_high,k_ref_tau_slow,k_ref_tau_slow_ci_low,k_ref_tau_slow_ci_high,k_ref_gof,k_ref_percent_fast,k_ref_fit_available,k_ref_fit_any_value_present,k_ref_fitted_peak_component,k_ref_fit_amplitude_relative_difference,csf_amplitude,csf_half_width,csf_peak_location,csf_integral,csf_peak_count,csf_multiple_responses,csf_response_detected,csf_free_coef,csf_free_coef_ci_low,csf_free_coef_ci_high,csf_coef_fast,csf_coef_fast_ci_low,csf_coef_fast_ci_high,csf_tau_fast,csf_tau_fast_ci_low,csf_tau_fast_ci_high,csf_coef_slow,csf_coef_slow_ci_low,csf_coef_slow_ci_high,csf_tau_slow,csf_tau_slow_ci_low,csf_tau_slow_ci_high,csf_gof,csf_percent_fast,csf_fit_available,csf_fit_any_value_present,csf_fitted_peak_component,csf_fit_amplitude_relative_difference
ROI_011,L,4.880571229755613,20.048367059840984,204.0,118.10563052322806,1,False,True,0.05507474429583006,False,False,,7.843667225158573e-08,-0.04215255276121764,0.04215270963456215,5.06993920972036,4.987731889721984,5.152146529718736,19.932779470334122,19.204523893841362,20.661035046826882,3.5063167895345905e-10,,,100.00000121166826,-16391353514.670488,16391353714.670492,0.9912532658627862,0.9999999999308411,True,True,5.0699392100709915,0.03880037221070541,3.0898229345656616,17.440630378555568,403.0,77.28282537138008,1,False,True,0.036123943683183994,-45.515806533672354,45.58805442103873,3.3629152096925874,3.2067229828995685,3.5191074364856063,16.696042784385696,15.336505486365738,18.055580082405655,0.02420466839714983,-45.37045852222937,45.41886785902366,1611.2031942398519,-3301042.196109001,3304264.6024974803,0.9805391539204799,0.9928539085511197,True,True,3.387119878089737,0.09621811664294179
ROI_012,M,5.8300586009218724,17.189333148767872,204.0,163.20849991907193,1,False,True,0.14398111723052714,False,False,,1.2494118808129078e-12,,,5.4305935478090746,5.326053720107077,5.535133375511072,21.42974174275993,20.540915900422668,22.318567585097192,0.3349623717232,0.2291312792042018,0.4407934642421982,100.00000000222397,,,0.9943170193277742,0.941902849196479,True,True,5.765555919532274,0.011063813557448413,4.012296907100228,20.627303777787915,404.0,104.11338106544328,1,False,True,6.944995877203246e-07,,,4.580679754567666,,,19.188053664778895,,,5.250566845868521e-12,,,100.00000007960617,,,0.9873805914857149,0.9999999999988537,True,True,4.580679754572917,0.14166021623845165
ROI_013,N,6.063224254693868,16.490759715020374,204.0,172.35406506231243,1,False,True,0.0,False,False,,0.06943672353823281,-0.6631565372645504,0.802029984341016,5.613411136697198,4.9240795342429635,6.302742739151432,17.21519410629057,15.621371978381871,18.80901623419927,0.5185053356537248,0.2959081664943215,0.7411025048131281,100.0084156183478,-275.2379690260714,475.254800262767,0.998312667556334,0.9154415527361327,True,True,6.131916472350922,0.011329321623536559,3.6111349235374086,15.437726996872073,403.0,116.50137284680213,1,False,True,0.17671219611100533,0.1564416913500218,0.19698270087198885,3.7971534554370243,3.7239187550515687,3.87038815582248,14.343847078613747,13.8597614263698,14.827932730857693,2.046987695256949e-09,,,100.00000674311288,-1230903085.309924,1230903285.3099372,0.9842758298089895,0.9999999994609151,True,True,3.7971534574840122,0.05151248510105042
ROI_014,O,5.4708373211414445,24.786011911749057,204.0,220.4134787506382,1,False,True,0.07867820613690008,False,False,,1.9590249497439033e-09,,,5.080748534533476,,,41.52952636648873,,,1.957237186213346e-11,,,100.000000029912,,,0.9743388007334642,0.9999999999961476,True,True,5.080748534553049,0.07130330581772937,3.5910114980241477,14.430850591298338,403.0,71.38342662157781,1,False,True,0.02499336693451293,-29.739969336166393,29.78995607003542,3.999502786685495,3.9032405961293546,4.095764977241635,13.930078174371937,13.273973939127718,14.586182409616157,0.008527583133240531,-29.66589143682209,29.68294660308857,1610.5761947544981,-6097800.055592575,6101021.207982085,0.9910875799115777,0.9978723756193429,True,True,4.008030369818735,0.11612852591088627
ROI_015,P,4.964405305277004,14.999069305858256,204.0,146.1381284446913,1,False,True,0.03147128245476003,False,False,,5.234086894179383e-10,,,4.473102658129242,4.384754533778608,4.561450782479875,12.823207959713425,12.281994162717448,13.364421756709403,0.9006931021618259,0.8434977676569174,0.9578884366667343,100.00000000023036,,,0.9924733913052259,0.8323916385476771,True,True,5.373795760291068,0.08246515540922796,4.096271888273419,14.350920235839851,403.0,99.91762589163824,1,False,True,9.537824522531075e-08,-0.8768024249274612,0.8768026156839516,4.394428387601381,4.2765951745231465,4.512261600679615,13.66498964945839,13.009890967807767,14.320088331109012,0.1947810589525276,-0.5717940593804373,0.9613561772854925,269.3483272700783,-1673.3662765510037,2212.0629310911604,0.9925343621337109,0.9575567292752806,True,True,4.589209446553908,0.12033809564537044
ROI_016,Q,6.15545542039755,15.872803147861788,204.0,218.04931602207867,1,False,True,0.0015735641227380016,False,False,,2.2228459504095444e-14,,,4.040774727640832,3.8220636029117316,4.259485852369933,11.029419707091941,9.796386354371968,12.262453059811914,2.220552919387126,2.0980995885903813,2.343006250183871,100.00000000000003,,,0.9656910037226132,0.6453543011055893,True,True,6.261327647027958,0.01719973899568436,4.142456865920872,12.22597678131251,403.0,92.47420626329239,1,False,True,2.5676402740440474e-07,-2.7231231980619803,2.723123711590035,4.265368007584317,4.214842872316274,4.315893142852359,12.116943423394325,11.826333102032114,12.407553744756536,0.1361122562249351,-2.5427528540487017,2.814977366498572,680.0966753584853,-15698.011904712439,17058.20525542941,0.9973412036381636,0.9690757999430089,True,True,4.401480263809252,0.0625289306013809
ROI_017,R,2.8794518940401206,13.907983080051451,204.0,73.37684891382308,1,False,True,0.02753737214791503,False,False,,0.0018003188120010792,-0.07608448678268906,0.0796851244066912,2.5082425629912946,2.4590350820982354,2.5574500438843537,12.954814450141285,12.694937143544074,13.214691756738496,0.3905918594768103,0.355657539945349,0.4255261790082716,100.15823728354123,52.701927812845085,147.61454675423738,0.9998066915118674,0.8652589963574893,True,True,2.898834422468105,0.0067313256623950405,0.7779596310879556,15.73838380067798,402.0,37.3772931786481,1,False,True,0.06562742054737862,0.05115725482424494,0.0800975862705123,0.6997196869419916,0.6763520641589685,0.7230873097250147,15.531128006956077,14.909150101630994,16.15310591228116,0.0476844895478633,0.03338431625598301,0.06198466283974359,100.14615715341596,-5.534608344395608,205.8269226512275,0.9977280611905182,0.9361998620722043,True,True,0.7474041764898549,0.03927640121296491
ROI_018,S,3.8536193465084305,15.563286914661177,204.0,97.96208802268372,1,False,True,0.04799370574350905,False,False,,0.08898534967367376,-0.5862544686346649,0.7642251679820125,3.708164489848232,3.1660752024362684,4.250253777260196,18.69028438050071,16.72496118840149,20.65560757259993,0.04658127809122387,-0.16364721067758928,0.25680976686003704,110.93379328185638,-3903.1635632971283,4125.031149860841,0.9980812257411344,0.987594026075223,True,True,3.7547457679394562,0.02565732878068474,0.6939722023387831,25.21488791125097,408.0,46.162385233943766,1,False,True,0.0730704266722647,0.04754333710600751,0.09859751623852188,0.556003635543051,0.514732900677733,0.597274370408369,18.110700702597416,16.702673362292792,19.51872804290204,0.09514068873696373,0.07127306442698131,0.11900831304694615,107.80430177855806,8.679865551960503,206.9287380051556,0.9948149109518792,0.8538869415130618,True,True,0.6511443242800147,0.061714111767636366
ROI_019,T,3.110534589463938,17.548260012078572,204.0,95.93365949280704,1,False,True,0.02989771833202203,False,False,,0.048159686537542594,-0.08175854518822676,0.17807791826331196,2.6907435613216175,2.5644056757350593,2.8170814469081757,17.678488108820236,17.06924539611325,18.287730821527223,0.3825493539219856,0.3433764426150534,0.42172226522891776,100.28981521681592,8.996237833086823,191.58339260054504,0.9998014867594985,0.8755246035857721,True,True,3.073292915243603,0.011972756820155828,,,,20.002582566523323,0,False,False,,,,,,,,,,,,,,,,,,False,False,,
ROI_020,U,6.176986518595245,13.962614130270623,204.0,116.23950861904223,1,False,True,0.22108575924468923,False,False,,0.048942785199308864,-980.2281356421996,980.3260212125982,6.469682370841098,6.21738420745485,6.721980534227346,13.609332918801115,12.895864450714967,14.322801386887264,0.01853756577651112,-979.9988667114301,980.035941842983,3850.5894346343534,-208464580.67248723,208472281.85135648,0.9972900726218386,0.9971428888111683,True,True,6.488219936617609,0.05038596362245969,3.4599619377124586,15.565959221536048,405.0,80.28332243914275,1,False,True,0.04593097636569166,-0.0354263568748961,0.12728830960627943,3.6624427695091124,3.5725914012984954,3.7522941377197294,14.67572802566313,14.191177649741602,15.160278401584657,0.003572207306775856,-0.043518387593423066,0.05066280220697478,112.75852704643708,-7572.559498951633,7798.076553044507,0.9978113850317315,0.9990255884579395,True,True,3.6660149768158883,0.05955355660347549
