roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason,k_ref_free_coef,k_ref_free_coef_ci_low,k_ref_free_coef_ci_high,k_ref_coef_fast,k_ref_coef_fast_ci_low,k_ref_coef_fast_ci_high,k_ref_tau_fast,k_ref_tau_fast_ci_low,k_ref_tau_fast_ci_high,k_ref_coef_slow,k_ref_coef_slow_ci_low,k_ref_coef_slow_ci_high,k_ref_tau_slow,k_ref_tau_slow_ci_low,k_ref_tau_slow_ci_high,k_ref_gof,k_ref_percent_fast,k_ref_fit_available,k_ref_fit_any_value_present,k_ref_fitted_peak_component,k_ref_fit_amplitude_relative_difference
ROI_015,P,4.964405305277004,14.999069305858256,204.0,146.1381284446913,1,False,True,0.03147128245476003,False,False,,5.234086894179383e-10,,,4.473102658129242,4.384754533778608,4.561450782479875,12.823207959713425,12.281994162717448,13.364421756709403,0.9006931021618259,0.8434977676569174,0.9578884366667343,100.00000000023036,,,0.9924733913052259,0.8323916385476771,True,True,5.373795760291068,0.08246515540922796
ROI_016,Q,6.15545542039755,15.872803147861788,204.0,218.04931602207867,1,False,True,0.0015735641227380016,False,False,,2.2228459504095444e-14,,,4.040774727640832,3.8220636029117316,4.259485852369933,11.029419707091941,9.796386354371968,12.262453059811914,2.220552919387126,2.0980995885903813,2.343006250183871,100.00000000000003,,,0.9656910037226132,0.6453543011055893,True,True,6.261327647027958,0.01719973899568436
ROI_017,R,2.8794518940401206,13.907983080051451,204.0,73.37684891382308,1,False,True,0.02753737214791503,False,False,,0.0018003188120010792,-0.07608448678268906,0.0796851244066912,2.5082425629912946,2.4590350820982354,2.5574500438843537,12.954814450141285,12.694937143544074,13.214691756738496,0.3905918594768103,0.355657539945349,0.4255261790082716,100.15823728354123,52.701927812845085,147.61454675423738,0.9998066915118674,0.8652589963574893,True,True,2.898834422468105,0.0067313256623950405
ROI_018,S,3.8536193465084305,15.563286914661177,204.0,97.96208802268372,1,False,True,0.04799370574350905,False,False,,0.08898534967367376,-0.5862544686346649,0.7642251679820125,3.708164489848232,3.1660752024362684,4.250253777260196,18.69028438050071,16.72496118840149,20.65560757259993,0.04658127809122387,-0.16364721067758928,0.25680976686003704,110.93379328185638,-3903.1635632971283,4125.031149860841,0.9980812257411344,0.987594026075223,True,True,3.7547457679394562,0.02565732878068474
ROI_019,T,3.110534589463938,17.548260012078572,204.0,95.93365949280704,1,False,True,0.02989771833202203,False,False,,0.048159686537542594,-0.08175854518822676,0.17807791826331196,2.6907435613216175,2.5644056757350593,2.8170814469081757,17.678488108820236,17.06924539611325,18.287730821527223,0.3825493539219856,0.3433764426150534,0.42172226522891776,100.28981521681592,8.996237833086823,191.58339260054504,0.9998014867594985,0.8755246035857721,True,True,3.073292915243603,0.011972756820155828
ROI_020,U,6.176986518595245,13.962614130270623,204.0,116.23950861904223,1,False,True,0.22108575924468923,False,False,,0.048942785199308864,-980.2281356421996,980.3260212125982,6.469682370841098,6.21738420745485,6.721980534227346,13.609332918801115,12.895864450714967,14.322801386887264,0.01853756577651112,-979.9988667114301,980.035941842983,3850.5894346343534,-208464580.67248723,208472281.85135648,0.9972900726218386,0.9971428888111683,True,True,6.488219936617609,0.05038596362245969
ROI_021,V,5.747829745576287,15.455332750349129,205.0,208.17134040040114,1,False,True,0.03619197482297404,False,False,,1.9789263376698336e-09,,,4.401975573403103,4.217627286352265,4.586323860453941,8.957675929716945,8.180241704423507,9.735110155010384,1.773124263699713,1.6038132372477596,1.9424352901516666,115.94692887270429,96.5893272308135,135.3045305145951,0.9844653983927193,0.7128590127327216,True,True,6.175099837102816,0.07433589901568836
ROI_022,W,6.228568353512244,20.47907616752329,204.0,238.05299350019789,1,False,True,0.021243115656963022,False,False,,2.452128981206828e-13,,,4.537594005770645,4.251271189026923,4.8239168225143665,24.70809445237205,21.596308436120847,27.81988046862325,1.4585464333631593,1.149122186916538,1.7679706798097805,100.00000000000003,,,0.9696982891762855,0.7567524563227443,True,True,5.996140439133804,0.03731642669496846
ROI_023,X,5.9330758056107005,18.262276816727933,203.0,234.91075362918954,1,False,True,0.13453973249409915,False,False,,2.2231371953985172e-14,,,3.6390722940028946,3.4030594003873604,3.8750851876184287,12.08308414021522,10.430482382133787,13.735685898296653,2.5608544808756086,2.416659243887604,2.7050497178636133,100.00000000000003,,,0.9587588446034381,0.5869540764171699,True,True,6.199926774878503,0.04497683461509984
ROI_024,Y,5.030792240848572,15.12172678598381,204.0,179.57730748713035,1,False,True,0.10306845003933911,False,False,,8.64929848330657e-06,-2.9821987957368035,2.98221609433377,4.520681469493868,4.110064487741697,4.93129845124604,10.694665253465127,9.309911470824462,12.079419036105792,1.1299701209114936,-1.4469110030115802,3.706851244834567,173.49036284242746,-562.4501592094043,909.4308848942592,0.9836323346610653,0.8000283502118324,True,True,5.650651590405362,0.1232130686144643
