roi_id,roi_source_excel_column,k_ref_amplitude,k_ref_half_width,k_ref_peak_location,k_ref_integral,k_ref_peak_count,k_ref_multiple_responses,k_ref_response_detected,normalized_negative_fraction,majority_negative_trace,exclude_primary_analysis,exclusion_reason
ROI_135,EF,4.692193269302856,15.97163657082092,204.0,162.5053830691705,1,False,True,0.13690007867820614,False,False,
ROI_136,EG,5.514098009622688,16.32986536355625,204.0,135.16391446410603,1,False,True,0.057435090479937057,False,False,
ROI_137,EH,4.879910346184822,11.308685007083199,204.0,129.21322126108777,1,False,True,0.03855232100708104,False,False,
ROI_138,EI,4.767823245115327,19.50408298227373,204.0,141.82061882887163,1,False,True,0.1093627065302911,False,False,
ROI_139,EJ,2.9768322108663847,16.53568511035789,204.0,85.75414757768903,1,False,True,0.03855232100708104,False,False,
ROI_140,EK,2.7026165206539963,14.963907947664381,204.0,76.42706468599715,1,False,True,0.22738001573564123,False,False,
ROI_141,EL,4.106263969062668,19.973304233564903,204.0,124.4121023662333,1,False,True,0.05586152635719906,False,False,
ROI_142,EM,3.584271815018002,14.403940088016356,204.0,85.35220848762408,1,False,True,0.1125098347757671,False,False,
ROI_143,EN,4.419092031195946,16.294049695456465,204.0,105.37314772135379,1,False,True,0.23996852871754523,False,False,
ROI_144,EO,3.7879186263708196,12.992437841010258,204.0,107.49740356548831,1,False,True,0.05428796223446106,False,False,
ROI_145,EP,5.060935812391629,11.731617802985141,204.0,135.9409438420608,1,False,True,0.0023603461841070024,False,False,
ROI_146,EQ,5.313651362493278,11.12556898604143,204.0,110.03966406816792,1,False,True,0.07238394964594808,False,False,
ROI_147,ER,4.38627759119726,16.241435191662617,203.0,121.6779414814778,1,False,True,0.2926829268292683,False,False,
ROI_148,ES,3.52564103097539,18.851455786933343,203.0,112.95359964325561,1,False,True,0.041699449252557044,False,False,
ROI_149,ET,4.42882184569173,13.255948450423688,203.0,121.67532030117904,1,False,True,0.0007867820613690008,False,False,
ROI_150,EU,3.040839648336166,10.249360427022083,204.0,77.67738247810993,1,False,True,0.014162077104642014,False,False,
ROI_151,EV,4.281699106956707,13.745957947795489,204.0,113.7036646460496,1,False,True,0.0055074744295830055,False,False,
ROI_152,EW,2.541277909228811,13.361543542770619,204.0,70.37101198937222,1,False,True,0.05271439811172305,False,False,
ROI_153,EX,3.4250483120331894,9.436567405865162,204.0,66.18990677219888,1,False,True,0.13217938630999213,False,False,
ROI_154,EY,2.9153983788615245,30.530755346490707,202.0,123.90725261131726,1,False,True,0.13060582218725414,False,False,
ROI_155,EZ,3.2914801730420398,19.598070713327218,202.0,112.94488104736271,1,False,True,0.0975609756097561,False,False,
ROI_156,FA,3.577931914831083,10.88337693995976,204.0,92.77114419804192,1,False,True,0.08969315499606609,False,False,
ROI_157,FB,5.0679422354719526,9.52819368976074,203.0,103.75054223118204,1,False,True,0.06294256490952006,False,False,
ROI_158,FC,4.7342008977099175,12.923656729063538,204.0,118.65109482878924,1,False,True,0.07238394964594808,False,False,
ROI_159,FD,,,,-118.79164961204745,0,False,False,1.0,True,True,majority_negative_normalized_trace
ROI_160,FE,3.6373463712713874,13.01541153009552,203.0,89.34588112036819,1,False,True,0.16286388670338317,False,False,
ROI_161,FF,3.805439837887741,10.8883307882314,203.0,63.53057198599716,1,False,True,0.07710464201416208,False,False,
ROI_162,FG,,,,-125.9059445872447,0,False,False,0.998426435877262,True,True,majority_negative_normalized_trace
ROI_163,FH,4.468854752999994,12.476769996946558,204.0,111.19139926257218,1,False,True,0.05035405192761605,False,False,
ROI_164,FI,5.25302484093623,17.27002988056128,204.0,167.20567794553494,1,False,True,0.044059795436664044,False,False,
ROI_165,FJ,5.106247603362496,20.74665334079893,204.0,166.88855149899544,1,False,True,0.07081038552321008,False,False,
ROI_166,FK,5.886172961880711,11.426893422391885,204.0,115.73605583074345,1,False,True,0.07553107789142408,False,False,
ROI_167,FL,6.005279825130992,11.965470183184891,203.0,134.59036573227903,1,False,True,0.08811959087332809,False,False,
